Symbol,Name,IPOyear,Sector,industry,Summary Quote
AL^A,Air Lease Corporation,n/a,n/a,n/a,https://old.nasdaq.com/symbol/al^a
APD,"Air Products and Chemicals, Inc.",n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/apd
ALP^Q,Alabama Power Company,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alp^q
ALG,"Alamo Group, Inc.",n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi
ALK,"Alaska Air Group, Inc.",n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/alk
AIN,Albany International Corporation,n/a,Basic Industries,Textiles,https://old.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/alb
AA,Alcoa Corporation,2016,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa
ALC,Alcon Inc.,2019,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/alc
ALEX,"Alexander & Baldwin, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alex
ALX,"Alexander&#39;s, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/alx
ARE,"Alexandria Real Estate Equities, Inc.",n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/are
AQN,Algonquin Power & Utilities Corp.,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqn
AQNA,Algonquin Power & Utilities Corp.,2018,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqna
AQNB,Algonquin Power & Utilities Corp.,2019,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aqnb
BABA,Alibaba Group Holding Limited,2014,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/baba
Y,Alleghany Corporation,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/ati
ALLE,Allegion plc,2013,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/alle
AGN,Allergan plc.,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agn
ALE,"Allete, Inc.",n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ale
ADS,Alliance Data Systems Corporation,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,2002,n/a,n/a,https://old.nasdaq.com/symbol/afb
AWF,Alliance World Dollar Government Fund II,1993,n/a,n/a,https://old.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab
AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,2019,n/a,n/a,https://old.nasdaq.com/symbol/aio
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,2017,n/a,n/a,https://old.nasdaq.com/symbol/cbh
NCV,AllianzGI Convertible & Income Fund,2003,n/a,n/a,https://old.nasdaq.com/symbol/ncv
NCV^A,AllianzGI Convertible & Income Fund,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ncv^a
NCZ,AllianzGI Convertible & Income Fund II,2003,n/a,n/a,https://old.nasdaq.com/symbol/ncz
NCZ^A,AllianzGI Convertible & Income Fund II,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ncz^a
ACV,AllianzGI Diversified Income & Convertible Fund,2015,n/a,n/a,https://old.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,2007,n/a,n/a,https://old.nasdaq.com/symbol/nie
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",2005,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/nfj
ALSN,"Allison Transmission Holdings, Inc.",2012,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/all
ALL^B,Allstate Corporation (The),n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^b
ALL^G,Allstate Corporation (The),n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^g
ALL^H,Allstate Corporation (The),n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^h
ALL^I,Allstate Corporation (The),n/a,n/a,n/a,https://old.nasdaq.com/symbol/all^i
ALLY,Ally Financial Inc.,2014,Finance,Major Banks,https://old.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ally^a
PINE,"Alpine Income Property Trust, Inc.",2019,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/pine
ALTG,Alta Equipment Group Inc.,2019,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/altg
ALTG.WS,Alta Equipment Group Inc.,n/a,n/a,n/a,https://old.nasdaq.com/symbol/altg.ws
ALIN^A,Altera Infrastructure L.P.,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alin^a
ALIN^B,Altera Infrastructure L.P.,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alin^b
ALIN^E,Altera Infrastructure L.P.,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alin^e
AYX,"Alteryx, Inc.",2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ayx
ATUS,"Altice USA, Inc.",2017,Consumer Services,Television Services,https://old.nasdaq.com/symbol/atus
MO,Altria Group,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,2001,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach
ALUS,Alussa Energy Acquisition Corp.,2020,Finance,Business Services,https://old.nasdaq.com/symbol/alus
ALUS.U,Alussa Energy Acquisition Corp.,2019,n/a,n/a,https://old.nasdaq.com/symbol/alus.u
ALUS.WS,Alussa Energy Acquisition Corp.,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alus.ws
AMBC,"Ambac Financial Group, Inc.",n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ambc
AMBC.WS,"Ambac Financial Group, Inc.",n/a,n/a,n/a,https://old.nasdaq.com/symbol/ambc.ws
ABEV,Ambev S.A.,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev
AMC,"AMC Entertainment Holdings, Inc.",2013,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/amc
AMCR,Amcor plc,2019,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/amcr
AEE,Ameren Corporation,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee
